"MES";"CONTADOR";"CONTADOR_TIPO";"CONTADOR_SENTIDO";"ZONA";"NUMERO";"TRIMESTRE";"YEAR"
2019-07-01;"Puente la Reina-Gares";"Coches";"Santiago de Compostela";"Camino de Santiago";204;"2019-3";2019
2019-07-01;"Monreal";"Peatones";"Santiago de Compostela";"Camino de Santiago";1587;"2019-3";2019
2019-07-01;"Urederra";"Peatones";"Ida";"Recursos turístico ";11966;"2019-3";2019
2019-07-01;"Las Roscas";"Peatones";"Vuelta";"Recursos turístico ";338;"2019-3";2019
2019-07-01;"Xorroxin";"Peatones";"Vuelta";"Recursos turístico ";5059;"2019-3";2019
2019-07-01;"Amaiur";"Peatones";"Ida";"Recursos turístico ";6984;"2019-3";2019
2019-08-01;"Vía Verde Bidasoa (Doneztebe)";"Peatones";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";4938;"2019-3";2019
2019-08-01;"Vía Verde Bidasoa (Doneztebe)";"Bicicletas";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";2243;"2019-3";2019
2019-08-01;"Vía Verde Bidasoa (Doneztebe)";"Coches";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";1451;"2019-3";2019
2019-08-01;"Vía Verde Plazaola (Lekunberri)";"Peatones";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";5199;"2019-3";2019
2019-08-01;"Vía Verde Plazaola (Lekunberri)";"Bicicletas";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";1190;"2019-3";2019
2019-08-01;"Via Verde Vasco-Navarro (Ancín)";"Peatones";"Ancín - Estella";"Vías Verdes - Eurovelo";10283;"2019-3";2019
2019-08-01;"Via Verde Vasco-Navarro (Ancín)";"Bicicletas";"Ancín - Álava";"Vías Verdes - Eurovelo";635;"2019-3";2019
2019-08-01;"Via Verde Vasco-Navarro (Ancín)";"Coches";"Ancín - Álava";"Vías Verdes - Eurovelo";495;"2019-3";2019
2019-08-01;"Via Verde Tarazonica (Cascante)";"Peatones";"Cascante - Aragón";"Vías Verdes - Eurovelo";1794;"2019-3";2019
2019-08-01;"Via Verde Tarazonica (Cascante)";"Bicicletas";"Cascante - Aragón";"Vías Verdes - Eurovelo";397;"2019-3";2019
2019-08-01;"Vía Verde Irati (Foz Lumbier)";"Peatones";"Lumbier - Liédena";"Vías Verdes - Eurovelo";22306;"2019-3";2019
2019-08-01;"Vía Verde Irati (Foz Lumbier)";"Bicicletas";"Liédena - Lumbier";"Vías Verdes - Eurovelo";697;"2019-3";2019
